"Sexe";"Etat Civil";"Enfants";"id_salarié";"Congé maternité A-1";"Age";"Contrat";"Salaire base mensuel";"%variable_moyen";"Augmentation";"Promotion";"id_salarié (Right)";"Durée hebdo";"Distance domicile/Travail";"Service";"Work_accident";"Niveau de satisfaction";"id_salarié (Right) (Right)";"Ancienneté_an"
"F";"Célibataire";1;"16241106-8329";0;43;"CDI";9218.3;4;0;0;"16241106-8329";35;20;"Marketing";"Non";69;"16241106-8329";6.7
"F";"Célibataire";3;"16081120-1045";0;53;"CDI";9162.1833;17;1;0;"16081120-1045";35;46;"Consultant";"Non";7;"16081120-1045";9.1
"H";"Célibataire";3;"16900610-6265";0;59;"CDI";9096.9667;21;0;0;"16900610-6265";35;44;"Informatique";"Oui";8;"16900610-6265";5.8
"H";"Marié";2;"16850330-5826";0;43;"CDI";9069.6667;1;0;0;"16850330-5826";35;64;"Commercial";"Non";11;"16850330-5826";18.4
"H";"Marié";0;"16740413-0572";0;30;"CDI";9039.3333;20;1;1;"16740413-0572";35;30;"RH";"Non";1;"16740413-0572";10.7
"F";"Célibataire";3;"16020327-1465";0;44;"CDI";8860.8;19;1;0;"16020327-1465";32;65;"RH";"Non";59;"16020327-1465";11.9
"F";"Célibataire";3;"16360908-7378";0;33;"CDI";8828.5167;17;0;1;"16360908-7378";35;18;"Commercial";"Oui";84;"16360908-7378";10.6
"F";"Célibataire";3;"16100419-9707";0;36;"CDI";8746.6167;19;0;1;"16100419-9707";35;5;"RH";"Non";62;"16100419-9707";5.2
"H";"Marié";1;"16720627-1632";0;33;"CDI";8716.2833;20;0;0;"16720627-1632";35;50;"Informatique";"Non";93;"16720627-1632";8.3
"H";"Marié";0;"16830122-2462";0;56;"CDI";8714.7667;37;1;0;"16830122-2462";35;24;"Commercial";"Non";80;"16830122-2462";15.6
"H";"Marié";3;"16111023-3358";0;60;"CDI";8696.5667;34;1;0;"16111023-3358";35;19;"Marketing";"Non";89;"16111023-3358";13.1
"H";"0";3;"16421204-6850";0;60;"CDI";8696.5667;37;0;0;"16421204-6850";35;60;"Compta Finances";"Non";26;"16421204-6850";8.7
"F";"Marié";0;"16250316-9381";0;44;"CDI";8655.6167;26;1;0;"16250316-9381";35;68;"Compta Finances";"Non";25;"16250316-9381";15.8
"F";"Célibataire";0;"16530329-9431";0;48;"CDI";8629.8333;3;0;0;"16530329-9431";35;38;"Commercial";"Non";44;"16530329-9431";19.4
"H";"Marié";2;"16590918-0399";0;43;"CDI";8563.1;7;0;0;"16590918-0399";35;55;"RH";"Non";87;"16590918-0399";21.5
"H";"Célibataire";2;"16920528-2461";0;38;"CDI";8458.45;1;0;0;"16920528-2461";35;31;"Informatique";"Non";35;"16920528-2461";15.2
"H";"Célibataire";2;"16400410-2770";0;52;"CDI";8428.1167;18;1;0;"16400410-2770";35;57;"Commercial";"Oui";44;"16400410-2770";20
"F";"0";0;"16560624-9059";0;54;"CDI";8422.05;38;0;1;"16560624-9059";35;54;"Compta Finances";"Non";96;"16560624-9059";11.7
"H";"0";0;"16560517-2740";0;35;"CDI";8337.1167;16;0;1;"16560517-2740";35;29;"Commercial";"Oui";14;"16560517-2740";6.3
"F";"0";3;"16610522-9428";0;39;"CDI";8332.5667;12;0;0;"16610522-9428";35;34;"Compta Finances";"Non";42;"16610522-9428";5.2
"F";"Célibataire";1;"16020701-3376";0;36;"CDI";8328.0167;14;1;0;"16020701-3376";35;59;"Compta Finances";"Non";60;"16020701-3376";10.2
"H";"Marié";0;"16710204-1402";0;38;"CDI";8277.9667;10;0;0;"16710204-1402";35;55;"RH";"Non";78;"16710204-1402";20.4
"F";"Célibataire";2;"16910902-6667";0;64;"CDI";8218.8167;14;0;0;"16910902-6667";35;28;"Compta Finances";"Non";32;"16910902-6667";16.3
"F";"0";1;"16030828-8604";0;47;"CDI";8126.3;36;1;0;"16030828-8604";35;23;"Commercial";"Oui";54;"16030828-8604";18.2
"F";"0";1;"16500419-9062";0;34;"CDI";8108.1;38;0;0;"16500419-9062";35;68;"RH";"Non";69;"16500419-9062";11.7
"H";"0";3;"16820814-8992";0;49;"CDI";8073.2167;38;1;1;"16820814-8992";35;29;"Compta Finances";"Non";70;"16820814-8992";15.7
"F";"0";1;"16451112-4747";0;49;"CDI";8056.5333;14;0;0;"16451112-4747";35;31;"Marketing";"Non";75;"16451112-4747";21.8
"F";"0";1;"16760117-3029";0;59;"CDI";8056.5333;13;0;1;"16760117-3029";35;31;"Compta Finances";"Non";32;"16760117-3029";10.3
"F";"Célibataire";3;"16720410-2094";0;46;"CDI";7942.7833;38;1;0;"16720410-2094";35;27;"Commercial";"Non";78;"16720410-2094";10.8
"H";"Célibataire";2;"16610722-2223";0;46;"CDI";7927.6167;32;1;0;"16610722-2223";35;21;"Commercial";"Oui";42;"16610722-2223";10
"F";"Marié";1;"16730908-9915";0;61;"CDI";7898.8;35;0;0;"16730908-9915";35;3;"Compta Finances";"Oui";65;"16730908-9915";23
"F";"Célibataire";0;"16100719-6502";0;34;"CDI";7889.7;27;0;0;"16100719-6502";35;47;"Compta Finances";"Non";53;"16100719-6502";16.5
"F";"0";3;"16431129-7214";0;46;"CDI";7877.5667;36;1;0;"16431129-7214";35;28;"RH";"Non";63;"16431129-7214";22.2
"H";"0";2;"16080824-2457";0;44;"CDI";7753.2;21;1;0;"16080824-2457";35;62;"Compta Finances";"Non";96;"16080824-2457";15.2
"H";"Marié";3;"16320910-2411";0;54;"CDI";7713.7667;23;1;0;"16320910-2411";35;31;"Commercial";"Oui";31;"16320910-2411";14.3
"H";"Marié";2;"16420516-7234";0;36;"CDI";7710.7333;27;0;0;"16420516-7234";35;70;"RH";"Non";86;"16420516-7234";7.5
"F";"Marié";0;"16311229-8504";0;45;"CDI";7687.9833;9;0;0;"16311229-8504";35;69;"RH";"Non";47;"16311229-8504";17.3
"F";"Marié";3;"16770513-2772";0;41;"CDI";7672.8167;37;1;1;"16770513-2772";35;30;"Consultant";"Non";77;"16770513-2772";3.8
"H";"Marié";3;"16370212-9440";0;43;"CDI";7654.6167;5;1;0;"16370212-9440";35;60;"Informatique";"Non";54;"16370212-9440";23.3
"F";"0";1;"16021124-8356";0;51;"CDI";7637.9333;21;1;0;"16021124-8356";35;34;"RH";"Non";84;"16021124-8356";8.6
"H";"Marié";3;"16290605-1228";0;37;"CDI";7637.9333;27;0;0;"16290605-1228";35;68;"Marketing";"Non";59;"16290605-1228";13.8
"F";"0";0;"16181114-4680";0;43;"CDI";7601.5333;19;1;1;"16181114-4680";35;53;"Compta Finances";"Non";55;"16181114-4680";12.5
"F";"Marié";0;"16500514-6310";0;42;"CDI";7496.8833;6;1;0;"16500514-6310";35;55;"Commercial";"Non";77;"16500514-6310";21.9
"F";"0";1;"16840316-2442";0;60;"CDI";7377.0667;17;1;0;"16840316-2442";35;67;"Compta Finances";"Non";70;"16840316-2442";6
"H";"Célibataire";2;"16090824-7661";0;30;"CDI";7358.8667;31;1;0;"16090824-7661";28;48;"Marketing";"Non";17;"16090824-7661";9.9
"F";"0";3;"16940414-0312";0;38;"CDI";7308.8167;12;0;0;"16940414-0312";35;53;"Consultant";"Non";24;"16940414-0312";20.2
"F";"Marié";0;"16020725-8401";0;38;"CDI";7304.2667;17;1;0;"16020725-8401";35;59;"Consultant";"Non";34;"16020725-8401";7.9
"H";"Marié";2;"16581203-8213";0;50;"CDI";7269.08;7;1;1;"16581203-8213";28;65;"Consultant";"Non";5;"16581203-8213";9.2
"H";"Célibataire";2;"16900402-0286";0;57;"CDI";7264.8333;31;0;0;"16900402-0286";35;65;"Marketing";"Non";64;"16900402-0286";15.6
"H";"Marié";3;"16640715-7632";0;54;"CDI";7263.3167;30;1;1;"16640715-7632";35;16;"RH";"Non";84;"16640715-7632";12.7
"H";"0";2;"16281009-4371";0;61;"CDI";7185.9667;7;1;0;"16281009-4371";35;67;"Compta Finances";"Non";66;"16281009-4371";5.5
"H";"0";0;"16080130-8107";0;43;"CDI";7184.45;37;1;1;"16080130-8107";35;28;"Marketing";"Non";54;"16080130-8107";24.1
"H";"Célibataire";2;"16711027-7246";0;34;"CDI";7178.3833;38;1;0;"16711027-7246";35;68;"Consultant";"Non";89;"16711027-7246";6.5
"F";"Célibataire";0;"16831218-0485";0;39;"CDI";7157.15;3;0;0;"16831218-0485";35;26;"RH";"Non";6;"16831218-0485";3.7
"F";"0";1;"16100329-5753";1;36;"CDI";7148.05;21;1;0;"16100329-5753";35;27;"RH";"Oui";42;"16100329-5753";7.9
"H";"Célibataire";1;"16571101-6617";0;49;"CDI";7098;1;1;0;"16571101-6617";35;29;"Commercial";"Oui";39;"16571101-6617";23.2
"H";"Marié";0;"16931009-2151";0;54;"CDI";7081.3167;26;0;0;"16931009-2151";35;8;"Informatique";"Non";31;"16931009-2151";20
"H";"Marié";0;"16230105-6343";0;52;"CDI";6973.6333;31;0;1;"16230105-6343";35;50;"Consultant";"Non";99;"16230105-6343";19.1
"F";"Marié";3;"16621028-8244";0;36;"CDI";6902.35;17;0;1;"16621028-8244";35;45;"Commercial";"Non";21;"16621028-8244";17.3
"H";"Célibataire";1;"16800116-6613";0;57;"CDI";6842.16;21;1;0;"16800116-6613";24;37;"Marketing";"Non";1;"16800116-6613";23.9
"F";"Célibataire";3;"16140409-8707";1;32;"CDI";6838.65;5;1;0;"16140409-8707";35;6;"Commercial";"Oui";41;"16140409-8707";3
"F";"Marié";2;"16551001-4151";0;47;"CDI";6818.9333;14;1;0;"16551001-4151";35;35;"Commercial";"Non";47;"16551001-4151";24.3
"F";"Marié";3;"16341225-2086";0;43;"CDI";6743.36;4;0;0;"16341225-2086";32;59;"Compta Finances";"Non";6;"16341225-2086";22.7
"F";"Célibataire";1;"16430518-1481";0;60;"CDI";6591.4333;19;0;0;"16430518-1481";35;65;"Consultant";"Oui";63;"16430518-1481";20.2
"F";"0";2;"16000206-8278";0;58;"CDI";6583.85;13;1;0;"16000206-8278";35;59;"Marketing";"Non";67;"16000206-8278";12.6
"H";"0";1;"16560730-2626";0;59;"CDI";6526.2167;36;0;1;"16560730-2626";35;67;"Informatique";"Non";4;"16560730-2626";22.8
"H";"0";0;"16170926-3188";0;40;"CDI";6494.3667;1;0;0;"16170926-3188";35;12;"Informatique";"Oui";30;"16170926-3188";6
"F";"0";3;"16300713-6405";0;45;"CDI";6413.9833;24;1;0;"16300713-6405";35;59;"Consultant";"Non";72;"16300713-6405";7.2
"H";"0";2;"16640209-4004";0;54;"CDI";6409.4333;21;0;0;"16640209-4004";35;38;"Consultant";"Non";80;"16640209-4004";7.1
"H";"0";0;"16220428-5924";0;49;"CDI";6398.8167;11;1;0;"16220428-5924";35;29;"Consultant";"Non";68;"16220428-5924";7
"F";"Marié";1;"16770921-1705";0;35;"CDI";6356.35;26;1;0;"16770921-1705";35;40;"Informatique";"Non";4;"16770921-1705";4.2
"F";"0";1;"16660325-6006";0;58;"CDI";6301.75;34;0;0;"16660325-6006";35;28;"Consultant";"Non";39;"16660325-6006";9.7
"F";"Marié";2;"16141213-3603";0;46;"CDI";6212.2667;5;1;0;"16141213-3603";35;51;"Commercial";"Non";3;"16141213-3603";4.6
"H";"Célibataire";1;"16920917-6040";0;47;"CDI";6195.5833;23;0;1;"16920917-6040";35;27;"Commercial";"Non";56;"16920917-6040";13.1
"H";"0";2;"16341230-0471";0;49;"CDI";6178.64;17;0;0;"16341230-0471";24;48;"Informatique";"Non";57;"16341230-0471";23.3
"H";"Célibataire";0;"16731208-8904";0;30;"CDI";6175.8667;38;0;0;"16731208-8904";35;30;"RH";"Non";29;"16731208-8904";9.7
"F";"Célibataire";2;"16050619-6252";0;48;"CDI";6163.7333;16;1;1;"16050619-6252";35;70;"Commercial";"Non";38;"16050619-6252";23.9
"F";"Marié";3;"16170310-5534";0;50;"CDI";6127.3333;0;1;1;"16170310-5534";35;65;"Compta Finances";"Non";94;"16170310-5534";14.3
"H";"0";0;"16491209-6288";0;39;"CDI";6121.2667;32;0;0;"16491209-6288";35;45;"Commercial";"Oui";7;"16491209-6288";20.5
"H";"Célibataire";2;"16220127-8625";0;44;"CDI";6043.9167;3;1;0;"16220127-8625";35;65;"Consultant";"Non";36;"16220127-8625";16.9
"H";"Célibataire";2;"16200506-8370";0;46;"CDI";6031.7833;39;1;0;"16200506-8370";35;35;"Commercial";"Oui";74;"16200506-8370";19.2
"H";"Marié";1;"16880121-1056";0;48;"CDI";6002.9667;2;1;0;"16880121-1056";35;38;"Marketing";"Oui";70;"16880121-1056";22.8
"H";"Célibataire";3;"16661123-8764";0;47;"CDI";5984.7667;6;0;0;"16661123-8764";35;62;"Commercial";"Non";17;"16661123-8764";24.9
"F";"0";0;"16671208-2624";0;50;"CDI";5951.92;32;1;0;"16671208-2624";24;65;"Marketing";"Non";1;"16671208-2624";8.2
"H";"0";3;"16111130-1717";0;33;"CDI";5949.8833;17;1;0;"16111130-1717";35;69;"Commercial";"Non";41;"16111130-1717";16.2
"H";"Marié";3;"16510216-5973";0;44;"CDI";5930.1667;33;0;0;"16510216-5973";35;23;"Marketing";"Non";37;"16510216-5973";5.9
"F";"0";3;"16931211-0175";0;52;"CDI";5895.76;23;1;0;"16931211-0175";24;64;"Commercial";"Non";15;"16931211-0175";22.4
"H";"0";1;"16400120-2136";0;39;"CDI";5810.35;36;1;0;"16400120-2136";35;61;"Consultant";"Non";94;"16400120-2136";5.8
"H";"Marié";3;"16340716-8222";0;38;"CDI";5805.8;37;0;0;"16340716-8222";35;22;"Commercial";"Non";15;"16340716-8222";21.1
"H";"Marié";0;"16101212-2048";0;54;"CDI";5749.6833;17;0;0;"16101212-2048";35;51;"Commercial";"Non";19;"16101212-2048";13.8
"F";"0";1;"16130305-6954";0;54;"CDI";5739.0667;6;1;1;"16130305-6954";35;30;"Consultant";"Non";51;"16130305-6954";24.7
"H";"Célibataire";3;"16100424-1459";0;36;"CDI";5724.16;15;1;0;"16100424-1459";24;49;"Compta Finances";"Non";100;"16100424-1459";18.6
"F";"Marié";1;"16710920-7451";0;27;"CDI";5585.8833;17;1;0;"16710920-7451";35;48;"Consultant";"Non";50;"16710920-7451";15.7
"F";"0";1;"16750302-5590";0;40;"CDI";5581.3333;20;1;1;"16750302-5590";35;47;"Commercial";"Oui";86;"16750302-5590";23.9
"F";"0";2;"16940521-7028";0;62;"CDI";5522.1833;9;1;0;"16940521-7028";35;70;"RH";"Non";7;"16940521-7028";5.9
"H";"Marié";1;"16920713-6616";0;46;"CDI";5517.6333;23;1;1;"16920713-6616";35;9;"Marketing";"Non";81;"16920713-6616";23.3
"H";"0";0;"16960628-0338";0;49;"CDI";5464.55;34;0;0;"16960628-0338";35;6;"Commercial";"Non";47;"16960628-0338";10.5
"H";"Célibataire";2;"16950828-2259";0;32;"CDI";5462.08;39;0;0;"16950828-2259";24;60;"Marketing";"Non";25;"16950828-2259";7.5
"H";"Célibataire";3;"16400510-0542";0;52;"CDI";5455.45;7;0;0;"16400510-0542";35;7;"Consultant";"Non";8;"16400510-0542";19
"H";"0";3;"16761028-0344";0;54;"CDI";5448.56;30;0;0;"16761028-0344";24;9;"Consultant";"Non";51;"16761028-0344";7.3
"F";"Célibataire";1;"16910826-9763";0;45;"CDI";5388.7167;30;1;0;"16910826-9763";35;17;"Consultant";"Non";51;"16910826-9763";8.4
"H";"0";1;"16850430-6617";0;61;"CDI";5359.9;4;1;0;"16850430-6617";35;45;"RH";"Non";80;"16850430-6617";15.7
"F";"Marié";3;"16050721-8014";0;65;"CDI";5293.1667;39;0;0;"16050721-8014";35;16;"RH";"Non";30;"16050721-8014";18.6
"H";"0";0;"16260415-5834";0;51;"CDI";5212.7833;11;0;0;"16260415-5834";35;39;"Informatique";"Non";32;"16260415-5834";4.2
"F";"Célibataire";3;"16450910-7050";0;49;"CDI";5106.6167;10;0;0;"16450910-7050";35;22;"RH";"Non";77;"16450910-7050";9.8
"H";"Marié";0;"16420625-3827";0;43;"CDI";5097.2133;10;1;0;"16420625-3827";28;35;"Consultant";"Non";62;"16420625-3827";9.3
"F";"0";0;"16031007-1667";0;43;"CDI";5092.9667;11;1;0;"16031007-1667";35;49;"Commercial";"Non";31;"16031007-1667";23.1
"F";"Marié";0;"16270818-3112";0;54;"CDI";5076.2833;33;0;0;"16270818-3112";35;43;"RH";"Non";20;"16270818-3112";4.4
"F";"Célibataire";0;"16320923-9437";0;54;"CDI";5067.1833;39;1;0;"16320923-9437";35;34;"RH";"Non";55;"16320923-9437";15.1
"F";"0";2;"16741025-9738";1;33;"CDI";5056.5667;24;1;0;"16741025-9738";35;66;"RH";"Non";46;"16741025-9738";16.2
"H";"Marié";3;"16390301-2403";0;56;"CDI";5035.3333;24;0;0;"16390301-2403";35;55;"RH";"Non";95;"16390301-2403";24
"H";"0";0;"16590417-5196";0;50;"CDI";4988.3167;8;0;0;"16590417-5196";35;37;"Compta Finances";"Non";52;"16590417-5196";22.2
"F";"Célibataire";2;"16011205-0331";0;60;"CDI";4974.32;32;0;0;"16011205-0331";24;31;"Commercial";"Oui";66;"16011205-0331";11.8
"F";"Marié";0;"16340806-9395";0;52;"CDI";4882.8;17;1;0;"16340806-9395";24;45;"Commercial";"Non";1;"16340806-9395";9.9
"F";"Marié";0;"16520121-8566";0;37;"CDI";4851.6;14;0;0;"16520121-8566";24;64;"RH";"Non";11;"16520121-8566";20.6
"H";"0";0;"16620809-2681";0;31;"CDI";4795.44;19;0;1;"16620809-2681";24;7;"Consultant";"Non";33;"16620809-2681";5.6
"F";"Marié";2;"16370717-6461";0;39;"CDI";4763.85;7;1;0;"16370717-6461";35;44;"Marketing";"Non";73;"16370717-6461";10.8
"F";"Célibataire";0;"16661124-0695";0;40;"CDI";4712.2833;26;1;0;"16661124-0695";35;66;"Consultant";"Non";46;"16661124-0695";12
"F";"Célibataire";2;"16520612-7770";0;56;"CDI";4663.75;5;0;0;"16520612-7770";35;39;"Informatique";"Oui";32;"16520612-7770";24.4
"H";"Marié";1;"16461115-9486";0;40;"CDI";4624.3167;15;0;0;"16461115-9486";35;35;"Marketing";"Non";92;"16461115-9486";10.2
"F";"Célibataire";1;"16490707-4639";0;49;"CDI";4563.65;38;1;0;"16490707-4639";35;55;"Marketing";"Oui";51;"16490707-4639";16.2
"F";"0";1;"16820517-1112";0;44;"CDI";4516.6333;34;1;0;"16820517-1112";35;42;"Consultant";"Non";90;"16820517-1112";17.4
"H";"Marié";1;"16810725-6144";0;52;"CDI";4499.95;22;1;0;"16810725-6144";35;59;"RH";"Non";46;"16810725-6144";5.8
"H";"Marié";3;"16440228-5151";0;51;"CDI";4449.9;33;1;0;"16440228-5151";35;3;"Consultant";"Non";2;"16440228-5151";2.9
"F";"Célibataire";3;"16550904-2932";0;48;"CDI";4424.1167;30;0;0;"16550904-2932";35;58;"Marketing";"Non";29;"16550904-2932";24.2
"H";"Célibataire";3;"16600811-0956";0;52;"CDI";4421.0833;6;1;1;"16600811-0956";35;8;"Compta Finances";"Non";28;"16600811-0956";14.2
"H";"Célibataire";0;"16990414-3527";0;62;"CDI";4296.7167;39;0;0;"16990414-3527";35;32;"Consultant";"Non";39;"16990414-3527";10.8
"F";"Marié";0;"16460313-0032";0;62;"CDI";4289.1333;12;0;1;"16460313-0032";35;33;"Consultant";"Non";82;"16460313-0032";12.6
"H";"Marié";3;"16431030-6354";0;37;"CDI";4281.55;13;1;0;"16431030-6354";35;63;"Consultant";"Non";50;"16431030-6354";8.3
"H";"Célibataire";0;"16540514-9153";0;54;"CDI";4263.35;31;0;0;"16540514-9153";35;69;"Compta Finances";"Non";48;"16540514-9153";15.7
"F";"Célibataire";0;"16310403-3810";0;51;"CDI";4204.2;39;1;0;"16310403-3810";35;57;"Compta Finances";"Non";4;"16310403-3810";9.3
"F";"0";2;"16360616-0509";0;33;"CDI";4198.1333;34;1;0;"16360616-0509";35;33;"Compta Finances";"Non";14;"16360616-0509";4.8
"H";"Marié";2;"16320710-7636";0;57;"CDI";4165.2;12;0;0;"16320710-7636";24;43;"Informatique";"Non";41;"16320710-7636";22.6
"F";"Marié";0;"16910501-3081";0;49;"CDI";4152.6333;7;1;0;"16910501-3081";35;46;"Commercial";"Oui";60;"16910501-3081";15.8
"H";"Célibataire";0;"16431025-4026";0;40;"CDI";4134.4333;22;0;0;"16431025-4026";35;62;"Consultant";"Non";34;"16431025-4026";22.8
"F";"Marié";1;"16050407-7405";0;61;"CDI";4117.36;8;1;0;"16050407-7405";24;7;"RH";"Non";35;"16050407-7405";6.7
"F";"Marié";1;"16601210-4086";0;43;"CDI";4082.8667;28;0;0;"16601210-4086";35;37;"Marketing";"Non";74;"16601210-4086";22.3
"H";"Marié";1;"16400112-6921";0;57;"CDI";4022.2;14;0;0;"16400112-6921";35;36;"Marketing";"Non";37;"16400112-6921";15.6
"F";"0";0;"16230523-1322";0;37;"CDI";4013.1;12;0;0;"16230523-1322";35;59;"Compta Finances";"Non";93;"16230523-1322";8.1
"H";"0";0;"16220420-6227";0;42;"CDI";4000.9667;40;1;0;"16220420-6227";35;62;"Consultant";"Non";60;"16220420-6227";24.2
"H";"0";2;"16241218-7045";0;58;"CDI";3891.7667;32;0;0;"16241218-7045";35;28;"Consultant";"Non";13;"16241218-7045";7.2
"H";"Marié";1;"16411102-7886";0;32;"CDI";3882.6667;1;0;1;"16411102-7886";35;46;"RH";"Non";49;"16411102-7886";11.8
"F";"Marié";1;"16230718-4297";0;52;"CDI";3853.2;9;1;1;"16230718-4297";24;44;"Compta Finances";"Non";47;"16230718-4297";24.8
"F";"Célibataire";3;"16410421-3634";0;55;"CDI";3835.65;26;0;0;"16410421-3634";35;13;"RH";"Non";99;"16410421-3634";14.9
"H";"0";1;"16620606-6349";0;43;"CDI";3803.8;30;0;0;"16620606-6349";35;9;"RH";"Non";39;"16620606-6349";20.4
"F";"Marié";3;"16360125-5924";0;58;"CDI";3800.7667;9;1;1;"16360125-5924";35;53;"Commercial";"Non";61;"16360125-5924";24.7
"F";"0";1;"16390127-6224";0;52;"CDI";3797.7333;24;0;0;"16390127-6224";35;52;"RH";"Non";29;"16390127-6224";23.9
"F";"0";1;"16981206-3817";0;47;"CDI";3705.2167;29;1;0;"16981206-3817";35;68;"RH";"Oui";62;"16981206-3817";13
"H";"Marié";2;"16451016-1336";0;40;"CDD";3693.0833;24;0;0;"16451016-1336";35;42;"Marketing";"Non";25;"16451016-1336";0.3
"H";"Marié";1;"16560125-0110";0;38;"CDI";3677.9167;33;0;1;"16560125-0110";35;47;"Commercial";"Non";95;"16560125-0110";22.6
"H";"0";1;"16301226-6122";0;64;"CDI";3655.1667;33;0;0;"16301226-6122";35;41;"Marketing";"Non";69;"16301226-6122";19.3
"F";"0";1;"16690714-7836";0;46;"CDD";3640;6;0;0;"16690714-7836";35;9;"Marketing";"Non";96;"16690714-7836";1.1
"F";"0";2;"16680515-6269";0;40;"CDI";3597.5333;32;1;0;"16680515-6269";35;60;"Marketing";"Non";38;"16680515-6269";16.8
"H";"Marié";2;"16781122-5775";0;47;"CDI";3582.3667;30;1;0;"16781122-5775";35;48;"Marketing";"Non";81;"16781122-5775";22.4
"F";"Célibataire";2;"16620412-8323";1;27;"CDI";3547.4833;39;1;0;"16620412-8323";35;43;"Consultant";"Non";1;"16620412-8323";11.7
"H";"Célibataire";2;"16861012-1389";0;49;"CDI";3508.05;11;0;1;"16861012-1389";35;60;"RH";"Non";92;"16861012-1389";24
"H";"Célibataire";2;"16891006-1830";0;31;"CDI";3486.8167;19;0;0;"16891006-1830";35;13;"RH";"Non";65;"16891006-1830";3.1
"H";"0";0;"16700930-1784";0;41;"CDI";3462.55;3;1;0;"16700930-1784";35;13;"Marketing";"Oui";99;"16700930-1784";20.6
"F";"Célibataire";1;"16090206-9129";0;56;"CDI";3459.5167;30;0;0;"16090206-9129";35;38;"Consultant";"Non";25;"16090206-9129";10.3
"H";"Marié";0;"16100606-3398";0;37;"CDI";3436.7667;27;1;0;"16100606-3398";35;11;"Compta Finances";"Non";44;"16100606-3398";10.3
"H";"Célibataire";2;"16820319-6442";0;48;"CDI";3383.6833;23;0;0;"16820319-6442";35;11;"Compta Finances";"Non";56;"16820319-6442";17.2
"H";"Marié";3;"16670406-9274";0;55;"CDI";3335.15;28;1;0;"16670406-9274";35;6;"RH";"Non";90;"16670406-9274";7.5
